Sector,Company,State,City,Neighborhood,Address,Complement,Zip_Code,Contact,Telephone,E_Mail,Website_URL,Paid
AÇÚCAR E ÁLCOOL,ARACEBA INDÚSTRIA DE MÁQUINAS LTDA. EPP,PARANÁ,SANTA TEREZINHA DE ITAIPU,ÁREA INDUSTRIAL,RUA ALEXANDRE ZILLI 90,,85875-000,IVONEI PICCOLI,(45)3541-1313,araceba@araceba.com.br,http://www.araceba.com.br,Não
AÇÚCAR E ÁLCOOL,ASTEFA - INDÚSTRIA E COMÉRCIO DE FILTROS LTDA. EPP,SÃO PAULO,SERTÃOZINHO,SÃO JOÃO,RUA FELISBERTO TAMIÃO 685,,14170-230,MARCELA CARASSATO,(16)3942-5511,astefa@astefaservice.com.br,http://www.astefa.com.br,Não
AÇÚCAR E ÁLCOOL,BEST FOOD MACHINE INDÚSTRIA DE MÁQUINAS PARA ALIMENTAÇÃO LTDA,SÃO PAULO,PAULÍNIA,SANTA TEREZINHA,RUA HUM 231,,13148-133,EMILIO ANGELO,(19)3787-8400,bfm@bfmachine.com.br,http://www.bfmachine.com.br,Não
AÇÚCAR E ÁLCOOL,BIG TECNOLOGIA INDUSTRIAL LTDA.,SÃO PAULO,PIRACICABA,DISTRITO INDUSTRIAL UNINORTE,RUA ROSÁRIO TAKAKI 555,,13413-063,RICARDO FUNCASTA DIAS,(19)3414-3836,adm@bigtecnologia.com.br,http://www.bigtecnologia.com.br,Não
AÇÚCAR E ÁLCOOL,BMA BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,INDAIATUBA,COMERCIAL VITORIA MARTINI,RUA FREDERICO MAGNUSSON 98,,13347-624,CARLOS VIEIRA,(19)3935-6810,administracao@bma-br.com,http://www.bma-worldwide.com,Não
AÇÚCAR E ÁLCOOL,BOSCH ENGENHARIA LTDA.,SÃO PAULO,PIRACICABA,VILA MONTEIRO,RUA ALEXANDRE HERCULANO 120,EDIF JK BLOCO B SALA 111 E 113,13418-445,PAMELA PERUZE,(19)3301-8101,contato@boschengenharia.com.br,http://www.boschengenharia.com.br,Não
AÇÚCAR E ÁLCOOL,BRESSAN SERVICE MONTAGEM INDUSTRIAL EIRELI - ME,SÃO PAULO,SALTINHO,NOSSA SENHORA APARECIDA,RUA JOAQUIM MENDES PEREIRA 1874,,13440-000,ALESSANDRO BRESSAN,(19)3439-3343,comercial@bressanindustria.com.br,http://www.bressanindustria.com.br,Não
AÇÚCAR E ÁLCOOL,BRUMAZI EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,SERTÃOZINHO,DISTRITO INDUSTRIAL,AVENIDA ANTÔNIO WALDIR MARTINELLI 1650,,14175-360,MARCOS FAVARO,(16)3946-8777,brumazi@brumazi.com.br,http://www.brumazi.com.br,Não
AÇÚCAR E ÁLCOOL,BULDRINOX INDÚSTRIA METALÚRGICA LTDA.,SÃO PAULO,PIRACICABA,SANTA ROSA,RODOVIA SP 127,KM 29,13400-970,ANTONIO FERNANDES MARIN,(19)3413-8080,buldrinox@buldrinox.com.br,http://www.buldrinox.com.br,Não
AÇÚCAR E ÁLCOOL,C.A.S. EQUIPAMENTOS LTDA,SÃO PAULO,PIRACICABA,PARQUE SÃO JORGE,RODOVIA SP 127 S/Nº,"KM 26,9",13413-050,PEDRO LUIZ SCHMIDT,(19)3421-7576,pedro.cas@uol.com.br,https://www.casequipamentos.com.br/,Não
AÇÚCAR E ÁLCOOL,CALDEBRAS - SERVIÇOS INDUSTRIAIS LTDA.,SÃO PAULO,RIBEIRÃO BONITO,MORUMBI,RUA SÃO PAULO 1615,,13580-000,VANDERSON ANGELO,(16)3344-3016,vanderson.angelo@gruposantin.com.br,http://www.gruposantin.com.br,Não
AÇÚCAR E ÁLCOOL,CALDEJA CALDEIRARIA E EQUIPAMENTOS LTDA,SÃO PAULO,JABOTICABAL,PARQUE INDUSTRIAL CARLOS TONNANI,AVENIDA PROFESSOR DAYTON ALEIXO DE SOUZA 340,,14871-382,MATEUS PERRONE,(16)3204-2945,comercial@caldeja.com.br,http://www.caldeja.com.br,Não
AÇÚCAR E ÁLCOOL,CASA DO ALAMBIQUEIRO LTDA,MINAS GERAIS,FORMIGA,PLANALTO,AVENIDA BRASIL 1377,,35574-819,NICOLAS CUNHA,(37)3322-1420,casadoalambiqueiro@hotmail.com,https://www.casadoalambiqueiro.com.br/,Não
AÇÚCAR E ÁLCOOL,CCRG EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,IGARAPAVA,PARQUE INDUSTRIAL,RUA ANDRÉ FRANCISCO DE ANDRADE ARANTES 235,CAIXA POSTAL 04,14540-000,SERGIO REIS MALAQUIAS,(16)3173-8100,mrg@mrgnet.ind.br,http://www.metalurgicariogrande.ind.br,Não
AÇÚCAR E ÁLCOOL,D&R ALAMBIQUES E COBRES LTDA - EPP,MINAS GERAIS,BELO HORIZONTE,DAS INDÚSTRIAS,RUA DOS INDUSTRIÁRIOS 1053,,30610-280,ROGÉRIO RODRIGUES FRANÇA,(31)3383-4390,vendas@deralambiques.com.br,http://www.deralambiques.com.br,Não
AÇÚCAR E ÁLCOOL,DEDINI S/A. INDÚSTRIAS DE BASE,SÃO PAULO,PIRACICABA,CRUZ CAIADA,RODOVIA RIO CLARO-PIRACICABA - S/N,"KM 26,3",13412-900,GILSON FERNANDES,(11)3371-9900,dedini@dedini.com.br,http://www.dedini.com.br,Não
AÇÚCAR E ÁLCOOL,DESTIL MÁQUINAS LTDA. ME,SANTA CATARINA,JARAGUÁ DO SUL,BAEPENDI,AVENIDA PREFEITO WALDEMAR GRUBBA 2051,,89256-500,EDGAR HIENDLMAYER,(47)3275-1564,destilmaquinas@vegaturbo.com.br,http://www.destilmaquinas.blogspot.com,Não
AÇÚCAR E ÁLCOOL,DN INDUSTRIAL EQUIPAMENTOS LTDA.,RIO DE JANEIRO,QUISSAMÃ,CONDE DE ARARUAMA,RODOVIA RJ-196,KM 22 - QUADRA A - LOTE 03 - ZEN 1 - CP 121147,28735-000,ALESSANDRO BRANTES,(22)9993-88710,comercial@dnindustrial.com.br,http://www.dnindustrial.com.br,Não
AÇÚCAR E ÁLCOOL,DOSAQ INDÚSTRIA E COMÉRCIO DE BOMBAS LTDA.,SÃO PAULO,SÃO PAULO,SÃO JOÃO CLIMACO,RUA IMOROTI 113,,04253-020,SÉRGIO ANDREAZZI,(11)2946-6642,dosaq@dosaq.com.br,http://www.dosaq.com.br,Não
AÇÚCAR E ÁLCOOL,DOURADOS EQUIPAMENTOS INDUSTRIAIS LTDA. ME,SÃO PAULO,SERTÃOZINHO,DISTRITO INDUSTRIAL,AVENIDA ANTÔNIO WALDIR MARTINELLI 1779,,14175-360,RAFAEL FURTADO,(16)3513-8500,comercial@douradosequipamentos.ind.br,http://www.douradosequipamentos.ind.br,Não
AÇÚCAR E ÁLCOOL,ECIRTEC EQUIPAMENTOS E ACESSÓRIOS INDUSTRIAIS LTDA,SÃO PAULO,BAURU,DISTRITO INDUSTRIAL II,RUA MAURITA VAZ MALMONGE 2235,,17039-770,RODRIGO DE OLIVEIRA MANZANO,(14)2107-9700,vendas@ecirtec.com.br,http://www.ecirtec.com.br,Não
AÇÚCAR E ÁLCOOL,ELETRO CIRÚRGICA SOTRONIC LTDA-ME,RIO GRANDE DO SUL,ERECHIM,CENTRO,RUA JOSÉ GIACOMINI 100,,99700-440,EDSON AMARAL,(54)3522-1898,sotronic@sotronic.com.br,http://www.sotronic.com.br,Não
AÇÚCAR E ÁLCOOL,EXAL PROJETOS INDÚSTRIA COMÉRCIO E ASSISTÊNCIA TÉCNICA EIRELI,SÃO PAULO,PIRACICABA,LOT. DIST. INDUSTRIAL UNINORTE,RUA GERALDO BIZUTI 160,,13413-090,RODNEY ROSTON,(19)3411-2171,comercial@grupoexal.com.br,http://www.grupoexal.com.br,Não
AÇÚCAR E ÁLCOOL,FABFER INDÚSTRIA E COMÉRCIO LTDA.-EPP,SÃO PAULO,ARARAQUARA,JARDIM RAFAELA MICELLI,AVENIDA BERNARDO MONTEIRO 71,,14808-033,LUIZ FABIANO TELLES RODRIGUES,(16)3334-7040,financeiro@fabfer.com.br,http://www.fabfer.com.br,Não
AÇÚCAR E ÁLCOOL,FADIL FÁBRICA DE ALAMBIQUES DIVINÓPOLIS LTDA-ME,MINAS GERAIS,DIVINÓPOLIS,CENTRO,RUA PIAUÍ 113,,35502-031,HERMINIO BRAS DA SILVA,(37)3221-0021,contato@alambiquesmg.com.br,http://www.alambiquesmg.com.br/contato.html,Não
AÇÚCAR E ÁLCOOL,"FAE SYSTEM COMÉRCIO, MANUTENÇÃO E MONTAGENS EIRELI",SÃO PAULO,SANTANA DE PARNAÍBA,JARDIM FREDIANI,RUA PROFESSOR EDGAR DE MORAES 83,ANEXO R BOTAFOGO 123 SL 03,06502-165,FABIO DA SILVA FELIX,(11)4154-5129,faesystem@faesystem.com.br,http://www.faesystem.com.br,Não
AÇÚCAR E ÁLCOOL,FAMONTE - MONTAGEM E MANUTENÇÃO DE MÁQUINAS EIRELI. EPP,SÃO PAULO,TAQUARITINGA,CENTRO,AVENIDA VICENTE JOSÉ PERISE 2440,,15900-000,DIEGO DOS SANTOS ROCHA,(16)3252-8911,contato@famonteindustrial.com.br,http://www.famonteindustrial.com.br,Não
AÇÚCAR E ÁLCOOL,FUNDIÇÃO MORENO LTDA.,SÃO PAULO,SERTÃOZINHO,JARDIM RECREIO DOS BANDEIRANTES,AVENIDA MARGINAL ADAMO MELONI 1150,CAIXA POSTAL 110,14175-000,THIAGO LUIZ DE CAMARGO,(16)3946-5000,rh@moreno.ind.br,http://www.moreno.ind.br,Não
AÇÚCAR E ÁLCOOL,GERAÇÃO NOBRE EQUIPAMENTOS E MONTAGENS INDUSTRIAIS LTDA - ME,SÃO PAULO,SERTÃOZINHO,DISTRITO INDUSTRIAL,AVENIDA MARGINAL OLÉZIO MARQUES 4653,,14176-003,JEFFERSON ALVES,(16)3524-9022,orcamento@geracaonobre.com.br,http://www.geracaonobre.com.br,Não
AÇÚCAR E ÁLCOOL,GLOBO INOX EQUIPAMENTOS INDUSTRIAIS LTDA.,RIO GRANDE DO SUL,GRAVATAÍ,VILA MATO ALTO,RUA PORTO ALEGRE 35,,94195-340,PAULO ROBERTO AZEVEDO,(51)3489-2441,globo@globoinox.com.br,http://www.globoinox.com.br,Não
AÇÚCAR E ÁLCOOL,INDÚSTRIA AGRO-PERTENCES EIRELI,RIO GRANDE DO SUL,CACHOEIRA DO SUL,OLIVEIRA,RUA AMALIA NEGRI 727,,96505-370,MOACIR ANTÔNIO MARZARI,(51)3722-2043,comercial@agropertences.com.br,http://www.agropertences.com.br,Não
AÇÚCAR E ÁLCOOL,IRBI - MÁQUINAS E EQUIPAMENTOS LTDA.,SÃO PAULO,ARAÇATUBA,JARDIM DO TREVO,RODOVIA MARECHAL RONDON S/N,KM 536 - BLOCO 02 - CAIXA POSTAL 77,16070-005,PAULO SERGIO BIAGI,(18)3631-5000,irbi@irbi.com.br,http://www.irbi.com.br,Não
AÇÚCAR E ÁLCOOL,J W INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS EM AÇO INOXIDÁVEL LTDA,SÃO PAULO,SERTÃOZINHO,DISTRITO INDUSTRIAL,AVENIDA MARGINAL ANTÔNIO WALDIR MARTINELLI 1820,,14175-360,ALINE MARIA,(16)3513-2000,financeiro@jw.ind.br,http://www.jw.ind.br,Não
AÇÚCAR E ÁLCOOL,JAUMAQ INDÚSTRIA E COMÉRCIO DE MÁQUINAS INDUSTRIAIS LTDA.-EPP,SÃO PAULO,JAÚ,DISTRITO INDUSTRIAL,RUA FLORENTINO BATISTA LIMA 225,,17203-560,MARCELO JOSE BONATO,(14)3416-1563,contato@jaumaq.com.br,http://www.jaumaq.com.br,Não
AÇÚCAR E ÁLCOOL,JULIAN INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS INDUSTRIAIS EIRELI,SÃO PAULO,JAÚ,JARDIM CONCHA DE OURO,AVENIDA INÁCIO CURI 2846,,17204-350,PEDRO VALDOMIRO JULIAN,(14)3621-6937,julian@julian.ind.br,http://www.julian.ind.br,Não
AÇÚCAR E ÁLCOOL,KELVION INTERCAMBIADORES LTDA.,SÃO PAULO,FRANCO DA ROCHA,SERRA DOS CRISTAIS,ESTRADA SP 354,"KM 43,5",07834-000,HEINZ VERFURTH,(11)4447-8800,latinamerica@kelvion.com,http://www.kelvion.com/br/,Não
AÇÚCAR E ÁLCOOL,LUIZ PAULO LAUREANO - EPP,SANTA CATARINA,MELEIRO,JARDIM AMÉRICA,RUA ANTÔNIO TREVISOL 201,,88920-000,PATRIK DE ARAÚJO,(48)3537-1910,adm@rizimec.com.br,http://www.rizimec.com.br,Não
AÇÚCAR E ÁLCOOL,MAQ GLOBAL BRASIL INDÚSTRIA E COMÉRCIO DE MÁQUINAS LTDA-ME,SÃO PAULO,RIBEIRÃO PRETO,PARQUE BANDEIRANTES,RUA JOSÉ AISSUM 297,,14090-370,DELSON RESENDE PERES,(16)3967-8000,maqglobal@maqglobal.com,http://www.maqglobal.com.br,Não
AÇÚCAR E ÁLCOOL,MÁQUINAS PIRATININGA INDÚSTRIA E COMÉRCIO S/A.,PERNAMBUCO,JABOATÃO DOS GUARARAPES,PRAZERES,AVENIDA PIRATININGA - S/N,,54315-080,PAULO FIGUEIREDO,(81)3771-8622,mpn@mpn.com.br,http://www.mpn.com.br,Não
AÇÚCAR E ÁLCOOL,MAZER MONTAGENS E CALDEIRARIA LTDA,SÃO PAULO,SERTÃOZINHO,CHÁCARAS RECREIO PLANALTO,AVENIDA MARGINAL COMENDADOR SÉRGIO CANCIAN 5163,,14176-503,EDUARDO MAZER,(16)3942-1748,mazermontagens@yahoo.com.br,http://www.mazermontagens.com.br,Não
AÇÚCAR E ÁLCOOL,MEBRAS - INDÚSTRIAS REUNIDAS LTDA.-EPP,SÃO PAULO,CATANDUVA,JARDIM DEL REY,RUA LUCÉLIA 430,,15802-050,SILVIA NEVES,(17)3522-9036,silvia@embal.com.br,https://mebras.com.br/,Não
AÇÚCAR E ÁLCOOL,MMR INDÚSTRIA MECÂNICA EIRELI-EPP,RIO GRANDE DO SUL,BENTO GONÇALVES,DISTRITO INDUSTRIAL,RUA CARLOS DREHER NETO 2452,PAVILÃO A,95706-440,MARCO AURÉLIO DAL MAS,(54)2621-5005,vendas@serrainox.com.br,https://www.serrainox.com.br/,Não
AÇÚCAR E ÁLCOOL,MONTINORTE GUINDASTES E TRANSPORTES LTDA-EPP,PARANÁ,CIANORTE,COMPLEXO INDUSTRIAL DO VESTUÁRIO,RUA JOAQUIM ANTÔNIO NOVO 21,,87201-060,VAGNER CESAR PEREIRA,(44)3631-5015,contato@montinorte.com.br,http://www.montinorte.com.br,Não
AÇÚCAR E ÁLCOOL,MORENO EQUIPAMENTOS PESADOS LTDA.,SÃO PAULO,SERTÃOZINHO,ÁGUA VERMELHA,RODOVIA ARMANDO DE SALES OLIVEIRA S/N,KM 2,14165-428,LUIS GUSTAVO POSSOS,(16)3946-5000,vendas@moreno.ind.br,http://www.moreno.ind.br,Não
AÇÚCAR E ÁLCOOL,MOTOCANA MÁQUINAS E IMPLEMENTOS LTDA.,SÃO PAULO,PIRACICABA,VILA REZENDE,AVENIDA 1º DE AGOSTO 343,,13414-030,RENATO CAMPOS,(19)3412-1234,financeiro@motocana.com,http://www.motocana.com.br,Não
AÇÚCAR E ÁLCOOL,PARANAVAÍ MÁQUINAS INDUSTRIAIS LTDA. - EPP,PARANÁ,PARANAVAÍ,PARQUE INDUSTRIAL SUMARÉ,RUA CAIO KIMURA 1335,,87720-130,LUIZ ANTÔNIO DE CARVALHO,(44)3045-5354,comercial@paranavaimaquinas.com.br,http://www.paranavaimaquinas.com.br,Não
AÇÚCAR E ÁLCOOL,PLANUSI COMERCIAL EXPORTADORA DE MÁQS E EQUIPS INDÚSTRIAIS LTDA,SÃO PAULO,SERTÃOZINHO,INDÚSTRIAL II,AVENIDA JOSÉ OSVALDO MARQUES 940,A,14173-010,JOÃO MARCOS GALVÃO,(16)3513-9900,planusi@planusi.com.br,http://www.planusi.com.br,Não
AÇÚCAR E ÁLCOOL,PLANUSI EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,SERTÃOZINHO,SETOR INDUSTRIAL II,AVENIDA JOSÉ OSVALDO MARQUES 940,,14173-010,CASSIO JOSÉ CARVALHO,(16)3513-9900,planusi@planusi.com.br,http://www.planusi.com.br,Não
AÇÚCAR E ÁLCOOL,RGÉ EQUIPAMENTOS INDUSTRIAIS EIRELI-EPP,SÃO PAULO,SERTÃOZINHO,DISTRITO INDUSTRIAL 2,AVENIDA ANTÔNIO WALDIR MARTINELLI 2316,KM02,14175-360,GILMAR BATISTA BORGES,(16)3947-1768,compras@rgeequipamentos.com.br,http://www.rgeequipamentos.com.br,Não
AÇÚCAR E ÁLCOOL,ROMANIA INDÚSTRIA E COMÉRCIO LTDA,SÃO PAULO,AMÉRICO BRASILIENSE,DISTRITO INDUSTRIAL I,AVENIDA SÃO CARLOS 270,,14820-000,LUIS CAETANO ROMANIA,(16)3393-9595,atendimento@gruporomania.com.br,http://www.gruporomania.com.br,Não
AÇÚCAR E ÁLCOOL,ROMASUL EQUIPAMENTOS INDUSTRIAIS EIRELI,SÃO PAULO,SERTÃOZINHO,DISTRITO INDUSTRIAL,RUA ANTÔNIO GATTO JÚNIOR 200,,14176-154,WALDECI AVANZI,(16)2105-3500,romasul@netsite.com.br,http://www.romasul.com.br,Não
AÇÚCAR E ÁLCOOL,SEMAG - EQUIPAMENTOS INDUSTRIAIS DE GUARIBA LTDA.,SÃO PAULO,GUARIBA,PARQUE INDUSTRIAL,RUA JOÃO VIZIACK 300,,14840-000,NILO LONGO,(16)3251-9999,semag@semag.com.br,http://www.semag.com.br,Não
AÇÚCAR E ÁLCOOL,SENA ECAL EQUIPAMENTOS E INSTALAÇÕES LTDA.,SÃO PAULO,SÃO PAULO,MOOCA,RUA DOS CAMPINEIROS 864,,03167-020,GREICE MENEGON,(11)2076-3344,ecal@ecal.com.br,http://www.ecal.com.br,Não
AÇÚCAR E ÁLCOOL,SERMASA EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,SERTÃOZINHO,JARDIM GOLIVE,AVENIDA MARGINAL MANOEL PAVAN 847,,14170-460,DOUGLAS MARTELLI,(16)3521-2828,atendimento@sermasa.com.br,http://www.sermasa.com.br,Não
AÇÚCAR E ÁLCOOL,SIMISA-SIMIONI METALÚRGICA LTDA.,SÃO PAULO,SERTÃOZINHO,VILA INDUSTRIAL,MARGINAL ANTÔNIO WALDIR MARTINELLI 3013,,14175-360,PAULINE SIMIONI,(16)2105-1200,comercial@simisa.com.br,http://www.simisa.com.br,Não
AÇÚCAR E ÁLCOOL,SMS RESISTÊNCIAS ELÉTRICAS LTDA,SÃO PAULO,ITAQUAQUECETUBA,PARQUE SÃO PEDRO,RUA DO ALUMÍNIO 500,,08586-220,ANTONIO JOSÉ DOS SANTOS,(11)2211-1088,smsresistencias@smsresistencias.com.br,http://www.smsresistencias.com.br,Não
AÇÚCAR E ÁLCOOL,SOLBRINIL EQUIPAMENTOS E SERVIÇOS INDUSTRIAIS LTDA-EPP,SÃO PAULO,SERTÃOZINHO,JARDIM ALTO DOS BANDEIRANTES,AVENIDA MARGINAL FRANCISCO VIEIRA CALEIRO 610,,14171-198,SOPHIA SOSO,(16)3942-3464,solbrinil@solbrinil.com.br,https://www.solbrinil.com.br/,Não
AÇÚCAR E ÁLCOOL,SUPEROHM IMPORTAÇÃO E EXPORTAÇÃO DE EQUIPAMENTOS CIENTÍFICOS LTDA.-EPP,SÃO PAULO,PIRACICABA,ALGODOAL,RUA VITÓRIO LAERTE FURLAN 877,,13405-430,TALITA APARECIDA PESSOTTI LEITE,(19)3421-2234,contato@superohm.com.br,http://www.superohm.com.br,Não
AÇÚCAR E ÁLCOOL,TECEN COMERCIAL LTDA. - EPP,RIO DE JANEIRO,ITABORAÍ,VILA BRASIL,RODOVIA RJ 104 Nº 0,"LOTE L, LOTEAMENTO 7023",24859-180,JOSÉ OSWALDO DA SILVA,(21)2223-0899,engenovo@engenovo.com.br,http://www.engenovo.com.br/,Não
AÇÚCAR E ÁLCOOL,TERMOPROS INDÚSTRIA COMÉRCIO LTDA-EPP,SÃO PAULO,ITU,JARDIM EMICOL,RUA MARGINAL EMICOL 21500,CONDOMINIO WESTPARK,13312-820,CAROLINA KIMIE,(11)4192-4427,termopros@termopros.com.br,http://www.termopros.com.br,Não
AÇÚCAR E ÁLCOOL,THAMIL EQUIPAMENTOS INDUSTRIAIS EIRELI- EPP,SÃO PAULO,SERTÃOZINHO,ÁGUA VERMELHA,RODOVIA CARLOS TONANI S/N,SP-333 - KM 85 - GALPÃO 1,14174-000,JOSÉ CLAUDIO PREGNOLATTO,(16)3945-2732,administrativo@thamil.com.br,http://www.thamil.com.br,Não
AÇÚCAR E ÁLCOOL,TJA INDÚSTRIA E COMÉRCIO S/A.,SÃO PAULO,PONTAL,CENTRO,RUA VICENTE VENNA 62,,14180-000,RENATO OLIVEIRA,(16)3953-9696,tja@tja.com.br,http://www.tja.com.br,Não
