Transversal_Sector,Company,State,City,Address,Complement,Neighborhood,Zip_Code,Contact,Telephone,E_Mail,Website_URL,Paid,Extra_Info
AGITADOR,M.H. INDÚSTRIA DE MÁQUINAS E EQUIPAMENTOS ESPECIAIS EIRELI,SÃO PAULO,GUARULHOS,AVENIDA PEDRO DE SOUZA LOPES 776,,VILA GALVÃO,07074-000,VERA HAMMER,(11)2086-4200,sac@mh.ind.br,http://www.mh.ind.br,Sim,CNPJ   49043904000193   Pasta   553   Nº Associação   1976   Data de Fundação   03/06/1961   Data de Associação   10/06/1988   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,NETZSCH IND.E COM.DE EQUIPAMENTOS DE MOAGEM LTDA.,SANTA CATARINA,POMERODE,RUA EMILIO MARQUARDT 300,,RIBEIRAO SOUTO,89107-000,LUANA KREITLOW,(47)3387-7039,info.nem@netzsch.com,https://grinding.netzsch.com/pt-br,Sim,CNPJ   07389050000151   Pasta   5935   Nº Associação   5795   Data de Fundação   29/05/2005   Data de Associação   07/06/2021   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,RVC ATUADORES E VÁLVULAS LTDA - EPP,SÃO PAULO,SÃO PAULO,RUA ENGENHEIRO JOSE PASTORE 120,,JARDIM DAS GRAÇAS,02714-050,RICARDO CIZIKS,(11)2239-3953,vendas@rvc.com.br,https://rvc.com.br,Sim,CNPJ   03199782000128   Pasta   17584   Nº Associação   5497   Data de Fundação   01/06/1999   Data de Associação   23/09/2019   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,SEMCO TECNOLOGIA EM PROCESSOS LTDA.,SÃO PAULO,SÃO PAULO,RUA GERALDO CAMPOS MOREIRA 164,13º ANDAR - CJTOS.135 E 136 - ED.OLIMPIC TOWER,CIDADE MONÇÕES,04571-020,PRISCILA SOUZA,(11)3576-2068,info@semco.com.br,http://www.semcoequipamentos.com.br,Sim,CNPJ   15108353000187   Pasta   12676   Nº Associação   4655   Data de Fundação   05/12/2011   Data de Associação   28/02/2014   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,SIGMA TRATAMENTO DE ÁGUAS LTDA.,SÃO PAULO,SÃO BERNARDO DO CAMPO,RUA HAYDEE 70/84,,JORDANÓPOLIS,09891-520,GEORGIA SOUZA,(11)4056-6265,comercial@sigma.ind.br,http://www.sigma.ind.br,Sim,CNPJ   03439949000180   Pasta   5804   Nº Associação   3580   Data de Fundação   08/10/1999   Data de Associação   12/04/2007   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,UNIVERSAL PROCESS EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,SÃO PAULO,RUA CONCEIÇÃO MARCONDES SILVA 202,,CAMPO BELO,04624-090,DALMO MARTINS,(11)5098-9800,upe@upe.com.br,http://www.upe.com.br,Sim,CNPJ   74570763000104   Pasta   4538   Nº Associação   2780   Data de Fundação   17/02/1994   Data de Associação   01/07/1999   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,AGE TECNOLOGIAS MEIO AMBIENTE SANEAMENTO & AMBIÊNCIA LTDA.,SANTA CATARINA,SÃO JOSÉ,RUA HERIBERTO HULCE 3100,,JARDIM SANTIAGO,88113-000,ALEIXO HENRIQUE GARCIA DELLAGNELO,(48)3346-3005,atendimento@agetec.com.br,http://www.agetec.com.br,Não,CNPJ   01520686000104   Pasta   12187   Nº Associação   Data de Fundação   06/11/1996   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,AGIMIX SOLUÇÕES E EQUIPAMENTOS INDUSTRIAIS LTDA - EPP,SÃO PAULO,BRODOWSKI,RUA JOSE ANTONIO RIBAS 311,,DISTRITO INDUSTRIAL,14340-000,GABRIEL DE SOUZA BERESTINAS,(16)3664-5427,comercial@agimix.com.br,http://www.agimix.com.br,Não,CNPJ   14295834000186   Pasta   15433   Nº Associação   Data de Fundação   30/08/2011   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,ALKI INDÚSTRIA E COMÉRCIO DE MÁQUINAS LIMITADA.-ME,SÃO PAULO,DIADEMA,RUA BAHIA 163,,CANHEMA,09941-740,CLÁUDIO ROBERTO ILÁRIA,(11)4044-1638,contato@alkimaquinas.com.br,http://www.alkimaquinas.com.br,Não,CNPJ   06309814000199   Pasta   5787   Nº Associação   0   Data de Fundação   18/03/2004   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,ÂNGELA MARIA CECONI PEÇAS - EPP,RIO GRANDE DO SUL,FARROUPILHA,RUA FRANCISCO BALBINOT 163,,SANTA CATARINA,95170-010,SILVANO SOUZA,(54)3268-3891,cecomatec@cecomatec.com.br,http://www.cecomatec.com.br,Não,CNPJ   07191044000195   Pasta   10555   Nº Associação   Data de Fundação   27/01/2005   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,ARSEC DESUMIDIFICADORES E EQUIPAMENTOS PARA LABORATÓRIO EIRELI - EPP,SÃO PAULO,VARGEM GRANDE PAULISTA,RUA ARTHUR ALVES BANDEIRA 14,,JARDIM MARGARIDA,06701-212,RICARDO FRANCESCHI,(11)4243-7188,vendas@arsec.com.br,http://www.arsec.com.br,Não,CNPJ   52203858000157   Pasta   1064   Nº Associação   0   Data de Fundação   01/01/1983   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,BASINOX INDÚSTRIA E COMÉRCIO LTDA. ME,RIO GRANDE DO SUL,BENTO GONÇALVES,RUA CAVALHEIRO JOSÉ FARINA 973,,LICORSUL,95705-824,IVANILDO DORS,(54)3452-5066,basinox.ind@gmail.com,http://www.basinox.com.br,Não,CNPJ   18472103000110   Pasta   18415   Nº Associação   Data de Fundação   09/07/2013   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,BOMBAS BECK E TRATAMENTOS DE EFLUENTES LTDA. - EPP,RIO GRANDE DO SUL,NOVO HAMBURGO,RUA PAU BRASIL 621,,IDEAL,93332-100,ALESSANDRA GUIMARÃES,(51)3066-5533,comercial@bombasbeck.com.br,http://www.bombasbeck.com.br,Não,CNPJ   91690875000118   Pasta   6182   Nº Associação   3522   Data de Fundação   26/12/1967   Data de Associação   09/11/2006   Data de Desligamento   29/10/2010   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,CDC EQUIPAMENTOS E MONTAGENS INDUSTRIAIS LTDA.-EPP,SÃO PAULO,SUMARÉ,AVENIDA DANIEL D.COLE 51,,CHÁCARAS REUNIDAS ANHANGUERA,13177-440,TIAGO SCONTRI,(19)4112-0105,tiago@cdc.ind.br,http://cdc.ind.br/,Não,CNPJ   09575860000128   Pasta   13408   Nº Associação   Data de Fundação   19/02/2008   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,CIENLAB EQUIPAMENTOS CIENTÍFICOS LTDA. EPP,SÃO PAULO,CAMPINAS,RUA JOSÉ VIRTI NETO 64,,PARQUE SÃO PAULO,13052-472,ANDRÉIA MIQUELINO,(19)3278-0625,cienlab@cienlab.com.br,http://www.cienlab.com.br,Não,CNPJ   09019664000177   Pasta   18674   Nº Associação   Data de Fundação   06/08/2007   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,CM - CUNHA MÁQUINAS LTDA. ME,SANTA CATARINA,XANXERÊ,RUA GENOVINO LUIZ CALZA 25,,MATINHO,89820-000,TANIA REGINA FUHR DA CUNHA,(49)3433-5402,contato@cmmaq.com.br,http://www.cmmaq.com.br,Não,CNPJ   10842338000144   Pasta   11901   Nº Associação   Data de Fundação   22/05/2009   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,DIMENSÃO MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS EIRELI. ME,GOIÁS,TRINDADE,RUA PADRE GEBARDO 139,,JARDIM PRIMAVERA,75390-310,FRANCISCO LUCIANO,(62)3505-6123,dimensaomaquinas@hotmail.com,http://www.dimensaomaquinas.com.br,Não,CNPJ   11532813000149   Pasta   13730   Nº Associação   814   Data de Fundação   09/02/2010   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,DOSAQ INDÚSTRIA E COMÉRCIO DE BOMBAS LTDA.,SÃO PAULO,SÃO PAULO,RUA IMOROTI 113,,SÃO JOÃO CLIMACO,04253-020,SÉRGIO ANDREAZZI,(11)2946-6642,dosaq@dosaq.com.br,http://www.dosaq.com.br,Não,CNPJ   61476420000133   Pasta   101   Nº Associação   3701   Data de Fundação   10/08/1966   Data de Associação   29/02/2008   Data de Desligamento   06/09/2017   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,E M F DE OLIVEIRA MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS,SÃO PAULO,VARGEM GRANDE PAULISTA,RUA JORGE AMADO 185,LOTE 5 QUADRA E,CHÁCARA DO CARMO,06730-000,WENDER MOREIRA DOS SANTOS,(11)3691-9648,ekiinox@ekiinox.com.br,https://www.ekiinox.com.br/,Não,CNPJ   33023265000164   Pasta   20087   Nº Associação   Data de Fundação   14/03/2019   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,EAS ENGENHARIA AUTOMAÇÃO E COM. DE SISTEMAS LTDA.,SÃO PAULO,MOGI DAS CRUZES,RUA IPIRANGA 1285,,CENTRO,08717-000,JOSÉ MARIA PEREIRA DOS SANTOS,(11)4729-7210,contato@easengenhariaeprojetos.com.br,http://www.easeng.com.br,Não,CNPJ   71839203000114   Pasta   5889   Nº Associação   0   Data de Fundação   16/07/1993   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,"ECAM ENGENHARIA , CALDEIRAS E MAQUINAS - EIRELI",MINAS GERAIS,UBERABA,RUA JOAO DELLA LIBERA 329,,PARQUE DAS GAMELEIRAS,38037-220,PAULO VITOR MOREIRA,(34)3322-6195,contato@ecam.ind.br,http://www.ecam.ind.br,Não,CNPJ   17382414000125   Pasta   16208   Nº Associação   5079   Data de Fundação   10/01/2013   Data de Associação   02/02/2017   Data de Desligamento   02/06/2017   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,ENGENDRAR ENGENHEIROS ASSOCIADOS LTDA.,SÃO PAULO,CAMPINAS,AVENIDA ANDRADE NEVES 295,15º ANDAR - SALA 153,CENTRO,13013-160,LUIZ CARLOS DE SOUSA BOTELHO,(19)2129-1350,engendrar@engendrar.com.br,http://www.engendrar.com.br,Não,CNPJ   00946877000170   Pasta   4383   Nº Associação   0   Data de Fundação   01/11/1995   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,"ENGMAQ - MAQUINAS, EQUIPAMENTOS E SERVIÇOS INDUSTRIAIS LTDA-EPP",RIO DE JANEIRO,RIO DE JANEIRO,RUA MARIA RODRIGUES 202,,OLARIA,21031-490,RONALDO CELANTE CARNEIRO,(21)3451-8681,engmaq.ind@gmail.com,http://www.engmaqind.com.br/,Não,CNPJ   24357728000133   Pasta   16082   Nº Associação   Data de Fundação   10/03/2016   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,F. L. MOSSMANN & CIA. LTDA – ME.,RIO GRANDE DO SUL,CAMPO BOM,AVENIDA BAHIA 1398,,IMIGRANTE,93700-000,FERNANDO LUIS MOSSMANN,(51)3597-3746,flmossmann@flmossmann.com.br,http://www.flmossmann.com.br,Não,CNPJ   05864664000112   Pasta   15427   Nº Associação   Data de Fundação   26/08/2003   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,FAMADI INDÚSTRIA COMÉRCIO E SERVIÇOS EIRELI,SÃO PAULO,SANTO ANDRÉ,RUA TAUBATÉ 1130,,CAMILÓPOLIS,09230-310,SERGIO CITERO FILHO,(11)4997-9621,nfe@famadi.com.br,http://www.famadi.com.br,Não,CNPJ   66762964000185   Pasta   12343   Nº Associação   Data de Fundação   13/08/1991   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,FANEM LTDA.,SÃO PAULO,GUARULHOS,RUA ARTHUR CARL SCHMIDT 186,,CUMBICA,07222-050,DJALMA LUIZ RODRIGUES,(11)2972-5700,fiscal@fanem.com.br,http://www.fanem.com.br,Não,CNPJ   61100244000130   Pasta   1225   Nº Associação   0   Data de Fundação   01/01/1937   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Não
AGITADOR,FATTOBENE & ZANELATO LTDA,SÃO PAULO,ESPÍRITO SANTO DO PINHAL,AVENIDA WASHINGTON LUIZ 951,,MATADOURO,13990-000,CIRINEU ZANELATO,(19)3651-1573,vendas@mecainox.com.br,http://www.mecainox.com.br,Não,CNPJ   01334059000189   Pasta   19184   Nº Associação   Data de Fundação   22/07/1996   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,FILTRANDO INDÚSTRIA E COMÉRCIO DE EQUIP. P/TRATAMENTO DE ÀGUA LTDA.-ME,SÃO PAULO,MAUÁ,RUA AULIVIERI BOZZATO 1896,,LOTEAMENTO INDUSTRIAL CORAL,09372-010,FERNANDO LIMA,(11)2595-1300,comercial@filtrando.com.br,http://www.filtrando.com.br,Não,CNPJ   74469156000152   Pasta   19970   Nº Associação   Data de Fundação   07/03/1994   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,G.M.INDÚSTRIA COMÉRCIO MANUTENÇÃO E LOCAÇÃO DE EQUIPAMENTOS LTDA.-EPP,SÃO PAULO,ARARAQUARA,RUA PEDRO JOSÉ LAROCA 547,,I DISTRITO INDUSTRIAL,14808-300,LUCIMARA MISTRÃO,(16)3333-1400,gm@gmindustria.com.br,http://www.gmindustria.com.br,Não,CNPJ   02013137000106   Pasta   11273   Nº Associação   Data de Fundação   24/02/1997   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,GARINOX TANQUES E EQUIPAMENTOS INDUSTRIAIS EIRELI-ME,RIO GRANDE DO SUL,GARIBALDI,RUA NATANO GIONGO 658,PAVILHÃO A,ROTA DO SOL,95720-000,MAICON SILVA,(54)2125-5005,contato@garinox.com.br,https://www.garinox.com.br/,Não,CNPJ   20603990000160   Pasta   18770   Nº Associação   Data de Fundação   09/07/2014   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,GRABE BOMBAS E EQUIPAMENTOS INDUSTRIAIS LTDA,SÃO PAULO,ITATIBA,RUA JOSÉ SOAVE 88,,ESTER,13255-100,GIOVANNE CARLOS RIBEIRO,(11)3183-5140,vendas@grabe.com.br,http://www.grabe.com.br,Não,CNPJ   06055391000128   Pasta   6085   Nº Associação   0   Data de Fundação   16/12/2003   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,HERGEN S/A.MÁQUINAS E EQUIPAMENTOS,SANTA CATARINA,RIO DO SUL,RUA LEOPOLDO KURTH 1104,LATERAL,RAINHA,89162-036,SÁVIO SCHIMIDT,(47)3531-4400,hergen@hergen.com.br,http://www.hergen.com.br,Não,CNPJ   83141507000192   Pasta   1974   Nº Associação   2364   Data de Fundação   01/01/1975   Data de Associação   24/05/1991   Data de Desligamento   01/10/1993   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,HIPPERQUÍMICA DO BRASIL INDÚSTRIA E COMÉRCIO LTDA. EPP,SÃO PAULO,IPERÓ,AVENIDA 21 DE MARÇO 450,,ZONA INDUSTRIAL,18560-000,JOSÉ BENEDITO DE MORAES,(15)3266-4300,contato@hipperquimica.com.br,http://www.hipperquimica.com.br,Não,CNPJ   64138944000102   Pasta   18877   Nº Associação   Data de Fundação   27/08/1990   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,I9TECH SOLUCÕES INDUSTRIAIS LTDA. EPP,SÃO PAULO,RIBEIRÃO PRETO,RUA MANOEL FERNANDES 545,,JARDIM ZARA,14092-320,ANTÔNIO PEDRO BASÍLIO NETO,(16)3505-8800,contato@i9tech.com.br,http://www.i9tech.com.br,Não,CNPJ   23399978000173   Pasta   19820   Nº Associação   Data de Fundação   02/10/2015   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,INDÚSTRIA E COMÉRCIO ESTANHOF LTDA. EPP,MINAS GERAIS,LAVRAS,RUA QUATORZE DE AGOSTO 34,,DONA FLOR,37200-000,CAIO MÁRCIO OLIVEIRA,(35)3821-2949,caio@estanhof.com.br,http://www.estanhof.com.br,Não,CNPJ   23786437000106   Pasta   19598   Nº Associação   Data de Fundação   03/11/1987   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,INDÚSTRIA MECÂNICA PEQUENO RODRIGUES LTDA. - EPP,SÃO PAULO,SANTO ANDRÉ,AVENIDA NOVO HORIZONTE 260,,VILA SACADURA CABRAL,09060-820,REINALDO RODRIGUES,(11)4971-5358,pequenorodrigues@gmail.com,http://www.pequenorodrigues.com.br,Não,CNPJ   02331441000100   Pasta   12993   Nº Associação   Data de Fundação   23/01/1998   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,INOXIL S/A.,SÃO PAULO,GUARULHOS,AVENIDA ATALAIA DO NORTE 22,,JARDIM CUMBICA,07240-120,CHRISTIAN LEHMANN ANDERSEN,(11)2085-5179,christian@inoxil.com.br,http://www.inoxil.com.br,Não,CNPJ   61416996000105   Pasta   989   Nº Associação   5020   Data de Fundação   31/12/1960   Data de Associação   01/09/2016   Data de Desligamento   06/09/2017   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,J.A. - INDÚSTRIA E COMÉRCIO DE MÁQUINAS LTDA,SANTA CATARINA,CHAPECÓ,RUA RAIMUNDO ZANELLA 261,D,DISTRITO INDUSTRIAL FLAVIO BALDISERA,89813-824,CAREN GHENO,(49)3319-0200,ja@jaequipamentos.com.br,http://www.jaequipamentos.com.br,Não,CNPJ   02412264000188   Pasta   6247   Nº Associação   0   Data de Fundação   16/03/1998   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,JOPEMAR METALÚRGICA LTDA.,RIO GRANDE DO SUL,FLORES DA CUNHA,TRAVESSÃO GARIBALDI S/Nº,,SÃO CRISTOVÃO,95270-000,PEDRO VIEIRA DOS SANTOS,(54)3292-5152,jopemar@jopemar.com.br,http://www.jopemar.com.br,Não,CNPJ   05018745000100   Pasta   10940   Nº Associação   Data de Fundação   24/04/2002   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,KROMA EQUIPAMENTOS ESPECIAIS EIRELI,SÃO PAULO,BOTUCATU,RUA ISAURA FERNANDES DOS SANTOS 306,CAIXA POSTAL 26,DOMINGOS LOPES DISTRITO INDUSTRIAL III,18608-850,FERNANDO DOS SANTOS BARBOSA,(14)3813-1444,vendas@kroma.com.br,http://www.kroma.com.br,Não,CNPJ   02421710000110   Pasta   11316   Nº Associação   Data de Fundação   09/03/1998   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,LARC INDÚSTRIA E COMÉRCIO LTDA,SÃO PAULO,BARUERI,RUA LAPA 317,,CHÁCARAS MARCO,06419-020,RICARDO CIMA,(11)2631-5343,larc@larcbrasil.com.br,http://www.larcbrasil.com.br,Não,CNPJ   00416454000148   Pasta   12801   Nº Associação   Data de Fundação   27/01/1995   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,MAG MAK INDÚSTRIA DE MÁQUINAS FRIGORÍFICAS LTDA. EPP,SANTA CATARINA,CHAPECÓ,RUA CONCÓRDIA 200,E,LÍDER,89805-286,LUIZ MONARI,(49)3329-2718,financeiro@magmak.com.br,http://www.magmak.com.br,Não,CNPJ   11681167000181   Pasta   12007   Nº Associação   Data de Fundação   15/03/2010   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,MARCONI - EQUIPAMENTOS PARA LABORATÓRIOS LTDA.,SÃO PAULO,PIRACICABA,RUA RAFAEL DUCATTI 260,,ALGODOAL,13405-455,MATEUS MARCONI,(19)3412-1020,marconi@marconi.com.br,http://www.marconi.com.br,Não,CNPJ   45517463000163   Pasta   10941   Nº Associação   4263   Data de Fundação   19/02/1981   Data de Associação   04/08/2011   Data de Desligamento   02/04/2013   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,MARJON INDÚSTRIA COMÉRCIO E AUTOMAÇÃO LTDA.,MINAS GERAIS,UBERABA,RUA VERÍSSIMO 180,,SÃO BENEDITO,38022-090,RAILLA GARCIA,(34)3321-9303,compras@jormary.com.br,http://www.jormary.com.br,Não,CNPJ   03360174000153   Pasta   5517   Nº Associação   3089   Data de Fundação   20/08/1999   Data de Associação   07/08/2003   Data de Desligamento   06/05/2008   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Não
AGITADOR,MARTE CIENTÍFICA & INSTRUMENTAÇAO INDUSTRIAL LTDA.,MINAS GERAIS,SANTA RITA DO SAPUCAÍ,AVENIDA FRANCISCO ANDRADE RIBEIRO 430,,FAMÍLIA ANDRADE,37540-000,WALTER ALFREDO DE MELLO MALSCHITZKY,(11)3411-4500,importacao@marte.com.br,http://www.marte.com.br,Não,CNPJ   60431715000120   Pasta   1545   Nº Associação   1111   Data de Fundação   23/01/1950   Data de Associação   09/04/1981   Data de Desligamento   12/01/2005   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,MASTERNOX INDÚSTRIA E COMÉRCIO LTDA.-ME,MINAS GERAIS,UBERABA,RUA MARIA JÚLIA JUNQUEIRA RODRIGUES DA CUNHA 117,,VILA SÃO CRISTÓVÃO,38001-970,LUCAS ESTEVAN,(34)3338-7558,masternox@masternox.com.br,http://www.masternox.com.br,Não,CNPJ   04997398000133   Pasta   13056   Nº Associação   Data de Fundação   12/04/2002   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,MEGA FLUX INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,SÃO PAULO,RUA SUSSURANA 193,,VILA NAIR,04281-070,JOSE LEONARDO MARCHATTO,(11)5575-4160,vendas@megaflux.net,http://megaflux.net,Não,CNPJ   00964971000151   Pasta   15284   Nº Associação   Data de Fundação   13/12/1995   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
