product_name,company_name,address,phone_number,e_mail,website
ACESSORIOS P/MOVEIS,INDUSTRIA DE MOVEIS MONICA LTDA,"FIRENZI, 129 , SÃ£o Gotardo , Flores da Cunha | 95270-000",(54) 32927228,,
ACESSORIOS P/MOVEIS,ZIMAQ IMPLEMENTOS E MAQUINAS LTDA,"R TIRADENTES, 57 , Centro , Flores da Cunha | 95270-000",(54) 32921056,,http://www.zimaq.com
ACESSORIOS PNEUMATICOS,DYNAMICS DO BRASIL METALURGIA LTDA,"PADRE AMBROSIO PIERATELLI, 454 PAVILHAO A, Kayser , Caxias do Sul | 95098-380",(54) 32137700,,http://www.dynamics.com.br
ACESSORIOS P/REDES DISTRIB. E TRANSM. EE,LEGRAND BRASIL LTDA,"R GERSON ANDREIS 1.255, 1255 , Distrito Industrial , Caxias do Sul | 95112-130",(54) 21019999,br-spl-fiscal@legrand.com.br,http://www.legrand.com.br
ACESSORIOS P/REDES DISTRIB. E TRANSM. EE,SOPRANO INDUSTRIA ELETROMETALURGICA LTDA,"RODOVIA ERS 122, 0 S/N / KM 61, Industrial , Farroupilha | 95180-000",(54) 21096000,flaviaperoni@soprano.com.br,http://www.soprano.com.br
ACESSORIOS P/REDES DISTRIB. E TRANSM. EE,TRAMONTINA ELETRIK S.A.,"RSC 470, 0 S/N / KM 230, Triangulo , Carlos Barbosa | 95185-000",(54) 34618200,alexandre.mocellin@tramontina.com; cristiano.veronese@tramontina.com,http://www.tramontina.com.br
ACESSORIOS P/VALVULAS DE ESFERA,METALURGICA GOLDEN ART S LTDA,"GETULIO VARGAS, 496 , Centro , VeranÃ³polis | 95330-000",(54) 34418900,comex@mga.com.br; rh@mga.com.br; karina@mga.com.br,http://www.mga.com.br
ACOPLAMENTOS FLEXIVEIS,MAQENGE - INDUSTRIA METALURGICA LTDA,"AUGUSTO ARTICO, 26 , Lourdes , Caxias do Sul | 95074-410",(54) 35353050,maqenge@maqenge.com.br; diretoria@maqenge.com.br,http://www.maqenge.com.br
ACUCAREIROS,TRAMONTINA FARROUPILHA SA INDUSTRIA METALURGICA,"ERS-122, 0 S/N / KM 61, Industrial , Farroupilha | 95178-000",(54) 32610000,luciana.morari@tramontina.com,http://www.tramontina.com.br
ACUMULADORES DE AGUA GELADA,MEBRAFE INSTALACOES E EQUIPAMENTOS FRIGORIFICOS LTDA,"JACOB LUCHESI, 4985 , Santa LÃºcia , Caxias do Sul | 95032-000",(54) 32247700,financeiro@mebrafe.com.br,http://www.mebrafe.com.br
ADMINISTRACAO E PARTICIPACAO DE EMPRESAS,TRAMONTINA CENTRAL DE ADMINISTRACAO LTDA,"25 DE SETEMBRO, 1024 , Triangulo , Carlos Barbosa | 95185-000",(54) 34618000,inacio.chies@tramontina.com; miguel.deitos@tramontina.com,http://www.tramontina.com.br
ADMINISTRACAO E PARTICIPACAO DE EMPRESAS,RANDON SA IMPLEMENTOS E PARTICIPACOES,"ABRAMO RANDON, 770 ANDAR PRIMEIRO, Interlagos , Caxias do Sul | 95055-010",(54) 32392000,cheivani.stumpf@randon.com.br; saymon.defreitas@randon.com.br; gustavo.souto@randon.com.br,http://http://www.randon.com.br/
ADMINISTRACAO E PARTICIPACAO DE EMPRESAS,RANDON SA IMPLEMENTOS E PARTICIPACOES,"ABRAMO RANDON, 770 , Interlagos , Caxias do Sul | 95055-010",(54) 32392000,contatorandon@randon.com.br; ivanete.menegat@randon.com.br; rosangela.moraes@randon.com.br,http://www.randon.com.br
AFIACAO DE FERRAMENTAS,FRANZOI FERRAMENTAS INDUSTRIA E COMERCIO LTDA,"COMENDADOR PIETRO ZANELLA, 329 , SÃ£o JosÃ© , Caxias do Sul | 95043-670",(54) 30264433,deise@franzoi.com.br,http://www.franzoi.com.br
AFIACAO DE FERRAMENTAS,INTEC SOLUCOES PLASTICAS LTDA,"NARCEISO RECH, 3009 SALA",(54) 32134225,financeiro@inovamatrizes.com.br,http://www.inovamatrizes.com.br
AFIACAO DE FERRAMENTAS,ZAMBONI INDUSTRIA E COMERCIO DE PECAS LTDA,"17 DE JULHO, 1738 , NOSSA SRA. APARECIDA , Flores da Cunha | 95270-000",(54) 32923740,arizamboni@hotmail.com,
AFIACAO DE FERRAMENTAS,COMERCIO E SERVICOS SOLECI LTDA,"RUA VENEZA, 260 , SÃ£o Gotardo , Flores da Cunha | 95270-000",(54) 32929789,solevid@ig.com.br,
AFIACAO DE SERRAS,FRANZOI FERRAMENTAS INDUSTRIA E COMERCIO LTDA,"COMENDADOR PIETRO ZANELLA, 329 , SÃ£o JosÃ© , Caxias do Sul | 95043-670",(54) 30264433,deise@franzoi.com.br,http://www.franzoi.com.br
AFIACAO DE SERRAS,SUL CORTE IMPORTADORA DE FERRAMENTAS LTDA,"RSC 453 KM 80, 32843 , Nossa Senhora da SaÃºde , Caxias do Sul | 95044-090",(54) 32896000,sulcorte@sulcorte.com.br; financeiro02@sulcorte.com.br,http://www.sulcorte.com.br
AFIADORES DE FACAS (CHAIRAS),METALURGICA AFI-CORTE AZEVEDO LTDA,"VITORIO MADALOSSO, 202 , Salgado Filho , Caxias do Sul | 95098-460",(54) 30254849,,
ALARMES,MRR INDUSTRIA E MONTAGEM ELETRONICA LTDA,"NATAL CHIARELLO, 440 PISO SUPERIOR, Desvio Rizzo , Caxias do Sul | 95012-663",(54) 40094700,administrativo@compatec.com.br,http://www.compatec.com.br
ALARMES,PRO-F ELETRO COMERCIAL LTDA,"ALMIRANTE BARROSO, 463 , Cristo Redentor , Caxias do Sul | 95082-280",(54) 32229344,,
ALCAS TRASEIRAS P/MOTO,MA ACESSORIOS LTDA.,"ROMANO CANALLI, 1128 , SÃ£o Ciro , Caxias do Sul | 95059-140",(54) 32900200,rh@mamotos.com.br,http://www.mamotos.com.br
ALGEROSAS,BAVARESCO ESQUADRIAS DE FERRO LTDA,"MARCELINO CHAMPAGNAT, 89 , Centro , VeranÃ³polis | 95330-000",(54) 34411106,,
ALGEROSAS,FUNILARIA SANTA CATARINA LTDA,"BEETHOVEN, 2615 , SÃ£o JosÃ© , Caxias do Sul | 95032-670",(54) 30277144,funilariasantacatarina@gmail.com,
ALGEROSAS,FUNILARIA PRATENSE LTDA,"AV. BORGES DE MEDEIROS, 1510 , Centro , Nova Prata | 95320-000",(54) 32421214,fpratense@terra.com.br,
ALGEROSAS,JEJOIA INDUSTRIA E COMERCIO DE ESQUADRIAS METALICAS E TELAS LTDA,"RUA MAESTRO GEREMIAS RONCATO, 305 , RENOVACAO , VeranÃ³polis | 95330-000",(54) 34414327,jejoia.esq@gmail.com,
ALICATES,IRWIN INDUSTRIAL TOOL FERRAMENTAS DO BRASIL LTDA,"PRESIDENTE KENNEDY, 1049 , Aurora , Carlos Barbosa | 95185-000",(54) 34619300,paulo.goulart@sbdinc.com,http://www.irwin.com.br
ALICATES,TRAMONTINA GARIBALDI SA INDUSTRIA METALURGICA,"RUA TRAMONTINA, 600 , Centro , Garibaldi | 95720-000",(54) 34628000,felisberto.moraes@tramontina.com,http://www.tramontina.com.br
ALIMENTADORES P/ANTENAS PARABOLICAS,FLAMA INDUSTRIA METALURGICA LTDA,"JULIO PRESTES, 1235 MODULO B, STO. ANTONIO/ANA RECH , Caxias do Sul | 95059-740",(54) 32383600,ivandro@planocontabilidade.com.br,
ALIMENTADORES P/ANTENAS PARABOLICAS,TRANSISTEC IND COM DE COMPONENTES PARA COMUNICACAO LTDA,"RUA LUIZ ANTUNES, 419, 0 , Panazzolo , Caxias do Sul | 95080-000",2282727,,
ALONGAMENTO DE CHASSIS,BORGHETTI VEICULOS E IMPLEMENTOS LTDA,"R CONEGO JOAO MARCHESI, 67 , Centro , SÃ£o Marcos | 95190-000",(54) 32911272,,
AMASSADEIRAS,G PANIZ INDUSTRIA DE EQUIPAMENTOS PARA ALIMENTACAO LTDA,"ESTM ADOLFO RANDAZZO, 2010 , Santa FÃ© , Caxias do Sul | 95046-800",(54) 21013400,almir@gpaniz.com.br,http://www.gpaniz.com.br
AMORTECEDORES DE DIRECAO,FABRICA NACIONAL DE AMORTECEDORES LTDA,"PERIMETRAL BRUNO SEGALLA, 11114 , Kayser , Caxias do Sul | 95098-710",(54) 32136500,jocelaine.sachetti@fna.ind.br,http://www.fna.ind.br
AMORTECEDORES P/MOTOS,FABRICA NACIONAL DE AMORTECEDORES LTDA,"PERIMETRAL BRUNO SEGALLA, 11114 , Kayser , Caxias do Sul | 95098-710",(54) 32136500,jocelaine.sachetti@fna.ind.br,http://www.fna.ind.br
AMPERIMETRO,INOVA SISTEMAS ELETRONICOS LTDA,"ANTONIO GOMES MACIEL, 144 , Kayser , Caxias do Sul | 95097-820",(54) 35358000,inova@inova.ind.br; jaqueline.ludwig@inova.ind.br; marcia.gressler@inova.ind.br,http://www.inova.ind.br
AMPERIMETRO,LUJETEC EQUIPAMENTOS ELETRONICOS LTDA.,"AV RUBEM BENTO ALVES, 7891 , CinquentenÃ¡rio , Caxias do Sul | 95012-500",(54) 32262244,financeiro@lujetec.com.br,http://www.lujetec.com.br
AMPLIFICADORES P/VEICULOS,LOHR SISTEMAS ELETRONICOS LTDA.,"SANTO BORTOLINI, 378 , Bela Vista , Caxias do Sul | 95076-087",(54) 32188200,sinara@lohr.com.br,http://www.lohr.com.br
ANCINHOS,TRAMONTINA MULTI S/A,"ROD. RST 470, KM 230, 0 S/N, Triangulo , Carlos Barbosa | 95185-000",(54) 34618250,idelmar.farneda@tramontina.com,http://www.tramontina.com.br
ANDAIMES P/CONSTRUCAO CIVIL,METALURGICA SENIOR LTDA,"COMENDADOR JOSE ANTONIO ZANETTI, 405 , TamandarÃ© , Garibaldi | 95720-000",(54) 34647033,,
ANODIZACAO DE ALUMINIO,ALUMICONTE COMPONENTES DE ALUMINIO LTDA,"EST LINHA CONDE DE PORTO ALEGRE, 1000 , Centro , Vila Flores | 95334-000",(54) 34474000,rh@alumiconte.com.br,http://www.alumiconte.com.br
ANTE FORNALHAS,BARAZZETTI INDUSTRIA MECANICA LTDA,"ANTONIO RIBEIRO MENDES, 2012 PAVLH, Santa Catarina , Caxias do Sul | 95032-600",(54) 32241066,deise@barazzetti.com.br,
ANTENAS P/TV E RADIO,BAZEI ADMINISTRACAO E PARTICIPACAO LTDA,"RST 453, KM 01, 0 S/N, Medianeira , Caxias do Sul | 95010-550",(54) 32251999,silvana@bazei.com.br,http://www.bazei.com.br
APARA-BARRO,INSTALADORA SAO MARCOS LTDA,"BR 116, KM 113, 1155 , Industrial , SÃ£o Marcos | 95190-000",(54) 32918200,karine@cosenzaconsultoria.com.br; eduardo@bepo.com.br,http://www.bepo.com.br
APARADORES DE GRAMA TRATORIZADOS,AGRITECH LAVRALE INDUSTRIA DE MAQUINARIO AGRICOLA E COMPONENTES LTDA,"OBERDAN CAVINATTO, 290 , DE LAZER , Caxias do Sul | 95055-450",(54) 32388500,humanos@lavrale.com.br; jsilva@lavrale.com.br,http://www.lavrale.com.br
APARADORES DE GRAMA TRATORIZADOS,TRAMONTINA MULTI S/A,"ROD. RST 470, KM 230, 0 S/N, Triangulo , Carlos Barbosa | 95185-000",(54) 34618250,idelmar.farneda@tramontina.com,http://www.tramontina.com.br
APARELHOS DE LEVANTAMENTO,JOST BRASIL SISTEMAS AUTOMOTIVOS LTDA,"ABRAMO RANDON, 1200 , Saint Etienne , Caxias do Sul | 95055-010",(54) 32392800,jucinara.dill@jost.com.br; josiane.ziegler@jost.com.br,http://www.jost.com.br
APARELHOS P/ACUPUNTURA,PAGANIN E CIA LTDA,"ANGELO MICHIELIN, 510 , UniversitÃ¡rio , Caxias do Sul | 95041-050",(54) 32095600,,http://www.tonederm.com.br
APARELHOS P/ESTETICA,PAGANIN E CIA LTDA,"ANGELO MICHIELIN, 510 , UniversitÃ¡rio , Caxias do Sul | 95041-050",(54) 32095600,,http://www.tonederm.com.br
APARELHOS P/FISIOTERAPIA,PAGANIN E CIA LTDA,"ANGELO MICHIELIN, 510 , UniversitÃ¡rio , Caxias do Sul | 95041-050",(54) 32095600,,http://www.tonederm.com.br
APARELHOS P/GINASTICA E MUSCULACAO,VW INDUSTRIA DE EQUIPAMENTOS PARA GINASTICA LTDA,"R LUIZ COVOLAN, 1332 , Santa Catarina , Caxias do Sul | 95034-230",(54) 3019-1921,vwfitness90@gmail.com,
APARELHOS P/GINASTICA E MUSCULACAO,AJUSTEMAQ INDUSTRIA METALURGICA LTDA,"P BRUNO SEGALLA, 11254 PAVLH, Kayser , Caxias do Sul | 95098-752",(54) 32210323,andre@ajustfitness.com.br,http://www.ajustfitness.com.br
AQUECEDORES DE AGUA POR ENERGIA SOLAR,PAL ENERGY ENERGIA SOLAR LTDA,"SOUZA LOBO, 433 , Centro , CotiporÃ£ | 95335-000",(54) 34461695,,http://www.palenergyenergiasolar.com.br
ARADOS,AGRITECH LAVRALE INDUSTRIA DE MAQUINARIO AGRICOLA E COMPONENTES LTDA,"OBERDAN CAVINATTO, 290 , DE LAZER , Caxias do Sul | 95055-450",(54) 32388500,humanos@lavrale.com.br; jsilva@lavrale.com.br,http://www.lavrale.com.br
ARADOS,LORENZI & CIA. LTDA,"JOAO GOULART, 618 , Gloria , Garibaldi | 95720-000",(54) 34621275,,
ARAMADOS P/MOVEIS,DIMOVI INDUSTRIA METALURGICA LTDA,"CESARE CAMBRUZZI, 1309 , Santa Catarina , Caxias do Sul | 95032-610",(54) 30210697,dimovi@dimovi.com.br,http://www.proaramado.com.br
ARAMADOS P/MOVEIS,TAUMER INDUSTRIA METALURGICA LTDA,"VRS 313 KM 15, 0 S/N, NOVA SARDENHA , Farroupilha | 95180-000",(54) 30568484,marcelo@taumer.com.br,http://www.taumer.com.br
AR CONDICIONADO P/VEICULOS,VALEO CLIMATIZACAO DO BRASIL - VEICULOS COMERCIAIS S/A,"RIO BRANCO, 4688 , SÃ£o CristovÃ£o , Caxias do Sul | 95060-145",(54) 21015700,cristine.montanari@valeo.com,http://www.valeo-thermalbus.com.br
ARCOS DE PUA,IRWIN INDUSTRIAL TOOL FERRAMENTAS DO BRASIL LTDA,"PRESIDENTE KENNEDY, 1049 , Aurora , Carlos Barbosa | 95185-000",(54) 34619300,paulo.goulart@sbdinc.com,http://www.irwin.com.br
ARGOLAS,IVAN JOSE CARNINO LTDA,"R ANSELMO SANDI, 277 , Centro , SÃ£o Marcos | 95190-000",(54) 3291-2927,metalnino@metalnino.com.br,
ARGOLAS,MARJUS METAIS E ACESSORIOS LTDA,"JOAO BATISTA MONTANARI, 515 , SÃ£o JosÃ© , Caxias do Sul | 95043-600",(54) 32119555,,http://marjusmetais.com.br
ARGOLAS,METALURGICA AFI-CORTE AZEVEDO LTDA,"VITORIO MADALOSSO, 202 , Salgado Filho , Caxias do Sul | 95098-460",(54) 30254849,,
ARMAS DE CACA,E. R. AMANTINO INDUSTRIA METALURGICA LTDA,"FIORINDO DALLA COLETTA, 140 , Centro , VeranÃ³polis | 95330-000",(54) 34419100,er.aman@eramantino.com.br; er.pessoal@eramantino.com.br,http://www.eramantino.com.br
ARRUELAS,TRAMONTINA ELETRIK S.A.,"RSC 470, 0 S/N / KM 230, Triangulo , Carlos Barbosa | 95185-000",(54) 34618200,alexandre.mocellin@tramontina.com; cristiano.veronese@tramontina.com,http://www.tramontina.com.br
ARRUELAS,METALURGICA METALCIN LTDA,"R COMENDADOR PIETRO ZANELLA, 85 , SÃ£o JosÃ© , Caxias do Sul | 95043-670",(54) 3223-9388,wormann@terra.com.br; compras@metalcin.com.br,http://www.metalcin.com.br
ARTIGOS P/MONTARIA,METALURGICA AFI-CORTE AZEVEDO LTDA,"VITORIO MADALOSSO, 202 , Salgado Filho , Caxias do Sul | 95098-460",(54) 30254849,,
ASSADEIRAS,TRAMONTINA FARROUPILHA SA INDUSTRIA METALURGICA,"ERS-122, 0 S/N / KM 61, Industrial , Farroupilha | 95178-000",(54) 32610000,luciana.morari@tramontina.com,http://www.tramontina.com.br
ASSADEIRAS,TRAMONTINA SA CUTELARIA,"25 DE SETEMBRO, 1020 , Triangulo , Carlos Barbosa | 95185-000",(54) 34618400,ademir.beal@tramontina.com,http://www.tramontina.net
ASSADEIRAS,MARTINAZZO INDUSTRIA E COMERCIO LTDA,"NATANO GIONGO, 410 , ALFANDEGA , Garibaldi | 95720-000",(54) 34649900,administrativo@martinazzo.com.br;financeiro@martinazzo.com.br; contato@martinazzo.com.br,http://www.martinazzo.com.br
ASSADORES DE FRANGO,G PANIZ INDUSTRIA DE EQUIPAMENTOS PARA ALIMENTACAO LTDA,"ESTM ADOLFO RANDAZZO, 2010 , Santa FÃ© , Caxias do Sul | 95046-800",(54) 21013400,almir@gpaniz.com.br,http://www.gpaniz.com.br
ASSADORES DE FRANGO,MAQENGE - INDUSTRIA METALURGICA LTDA,"AUGUSTO ARTICO, 26 , Lourdes , Caxias do Sul | 95074-410",(54) 35353050,maqenge@maqenge.com.br; diretoria@maqenge.com.br,http://www.maqenge.com.br
ASSADORES DE FRANGO,TECNOLAR INDUSTRIA METALURGICA LTDA,"RUA JOAO VERGANI, 1172 , Cruzeiro , Caxias do Sul | 95076-640",(54) 32121756,arke@arke.com.br,http://www.arke.com.br
AUTOCLAVES,BARAZZETTI INDUSTRIA MECANICA LTDA,"ANTONIO RIBEIRO MENDES, 2012 PAVLH, Santa Catarina , Caxias do Sul | 95032-600",(54) 32241066,deise@barazzetti.com.br,
AUTOCLAVES,INDUSTRIA MECANICA THEODOSIO RANDON LTDA,"R JACOB LUCHESI, 5039 , Santa Catarina , Caxias do Sul | 95032-000",(54) 32189199,tr@tr.ind.br; catia@tr.ind.br,http://www.tr.ind.br
AUTO ELETRICA,ELETRO MECANICA BORTOLUZ LTDA,"R TRONCA, 1345 , Panazzolo , Caxias do Sul | 95010-100",(54) 32224070,bortoluz.rally@hotmail.com,
AUTO ELETRICA,EMBV AUTOPECAS E SERVICOS LTDA.,"HENRIQUE RECH, 575 , CinquentenÃ¡rio , Caxias do Sul | 95012-613",(54) 30265000,financeiro@bvimport.com.br; atendimento@bvimport.com.br,http://www.bvimport.com.br
AUTO ELETRICA,INSTALADORA ELETRICA J M LTDA,"FLORES DA CUNHA, 1893 SALA A, Jardim AmÃ©rica , Caxias do Sul | 95020-320",(54) 32232078,contato@exaconta.com.br,
AUTO ELETRICA,RICARDO DOS SANTOS BATALHA,"JULIO DE CASTILHOS, 317 SALA 03, CinquentenÃ¡rio , Caxias do Sul | 95010-003",(54) 32284338,dp1@gmcontabilidade.cnt.br,http://www.aguiaautosom.com
AUTO ELETRICA,J DE L BAGGIO AUTOELETRICA,"R CAVALIERE AMBROGIO CIPOLLA, 816 , Mariland , Caxias do Sul | 95057-000",(54) 30252554,jdlbaggio2017@gmail.com,
AUTO ELETRICA,GRIGOCAR COMERCIO DE PECAS E REPAROS AUTOMOTIVOS LTDA,"BUARQUE DE MACEDO, 2631 , Centro , Garibaldi | 95720-000",(54) 34622078,grigocar@hotmail.com,
AUTOMACAO INDUSTRIAL,ATIVITA AUTOMACAO LTDA,"JULIO DE CASTILHOS, 3804 , CinquentenÃ¡rio , Caxias do Sul | 95010-002",(54) 30287271,financeiro4@ativita.net,http://www.ativita.net
AUTOMACAO INDUSTRIAL,LUJETEC EQUIPAMENTOS ELETRONICOS LTDA.,"AV RUBEM BENTO ALVES, 7891 , CinquentenÃ¡rio , Caxias do Sul | 95012-500",(54) 32262244,financeiro@lujetec.com.br,http://www.lujetec.com.br
AUTOMACAO INDUSTRIAL,SISTEM DO BRASIL ACESSORIOS PNEUMATICOS LTDA.,"ERNESTO ZANROSSO, 2890 , Santa Catarina , Caxias do Sul | 95030-310",(54) 32133733,vendas@sistembrasil.com.br; francimari.bolsanella@sistemdobrasil.com.br,http://www.sistembrasil.com.br
AUTOMACAO INDUSTRIAL,SMAI MANUTENCAO E AUTOMACAO INDUSTRIAL LTDA.,"ROD RSC 453, 0 S/N / KM 81,9, SAO SEBASTIAO DE CASTRO , Carlos Barbosa | 95185-000",(54) 999952450,gi@tecniconta.com.br,
AUTOMACAO INDUSTRIAL,TWS AUTOMATION DO BRASIL - EQUIPAMENTOS ELETRONICOS LTDA,"BARAO DE SANTO ANGELO, 368 SALA B, Jardim AmÃ©rica , Caxias do Sul | 95052-610",(54) 30296404,claudio@tws-automation-br.com; rpucci@tws-automation-br.com; financeiro@tws-automation-br.com,http://www.tws-automation.com
AUTOMACAO INDUSTRIAL,ALFATRONIC INDUSTRIA E COMERCIO DE AUTOMACAO LTDA,"RUBEN BENTO ALVES, 5247 , Santa Catarina , Caxias do Sul | 95030-325",(54) 32111777,financeiro@alfatronic.com.br,http://www.alfatronicautomacao.com.br
AUTOMACAO INDUSTRIAL,LABTRONIX TECNOLOGIA EM AUTOMACAO LTDA,"RUBEN BENTO ALVES, 5167 SOBRELOJA, Santa Catarina , Caxias do Sul | 95030-325",(54) 32187700,jussara.Agostini@labtronix.com,http://www.auttom.com.br
AUTOMACAO INDUSTRIAL,SITA - AUTOMACAO MANUTENCAO E TECNICAS ELETRO MECANICA LTDA,"DANTE FRANCISCO ZATERA, 334 , Desvio Rizzo , Caxias do Sul | 95112-270",(54) 30256503,sitaautomacao@gmail.com.br,
AUTOMACAO INDUSTRIAL,CARLOS EDUARDO LUDVICH,"JOSE BASSANI, 110 , Marechal Floriano , Caxias do Sul | 95020-070",(54) 32022589,dp1@gmcontabilidade.cnt.br; gm@gmcontabilidade.cnt.br,
BAGAGEIROS,CELESTE INDUSTRIA E COMERCIO DE PECAS LTDA,"CLEMENTE SCARTON, 215 , Pioneiro , Caxias do Sul | 95042-180",(54) 32041052,exportacao@grupoceleste.com.br,http://www.celeste.janelasautomotivas.com.br
BAGAGEIROS,INSTALADORA SAO MARCOS LTDA,"BR 116, KM 113, 1155 , Industrial , SÃ£o Marcos | 95190-000",(54) 32918200,karine@cosenzaconsultoria.com.br; eduardo@bepo.com.br,http://www.bepo.com.br
BAGAGEIROS,KEKO ACESSORIOS S A - EM RECUPERACAO JUDICIAL,"ADHAUTT MANTOVANI, 0 S/N, LINHA 80 , Flores da Cunha | 95270-000",(54) 32795700,gilson.nunes@keko.com.br; nfe@keko.com.br,http://www.keko.com.br
BAGAGEIROS P/MOTOS,MA ACESSORIOS LTDA.,"ROMANO CANALLI, 1128 , SÃ£o Ciro , Caxias do Sul | 95059-140",(54) 32900200,rh@mamotos.com.br,http://www.mamotos.com.br
BAIXELAS,TRAMONTINA FARROUPILHA SA INDUSTRIA METALURGICA,"ERS-122, 0 S/N / KM 61, Industrial , Farroupilha | 95178-000",(54) 32610000,luciana.morari@tramontina.com,http://www.tramontina.com.br
BAIXELAS,MARTINAZZO INDUSTRIA E COMERCIO LTDA,"NATANO GIONGO, 410 , ALFANDEGA , Garibaldi | 95720-000",(54) 34649900,administrativo@martinazzo.com.br;financeiro@martinazzo.com.br; contato@martinazzo.com.br,http://www.martinazzo.com.br
BALCOES P/LOJAS,ROAL INDUSTRIA METALURGICA LTDA,"ALICE CESTARI MANTOVANI, 611 , Desvio Rizzo , Caxias do Sul | 95112-290",(54) 32892400,vendas@roal.com.br; rh1@roal.com.br; roberta.paim@roal.com.br,http://www.roal.com.br
