Industrial_Sector,Company,State,City,Address,Complement,Neighborhood,Zip_Code,Contact,Telephone,E_Mail,Website_URL,Paid,Extra_Info
AÇÚCAR E ÁLCOOL,RANE PIEROTI FERREIRA NETO-ME,MINAS GERAIS,VISCONDE DO RIO BRANCO,RUA DOUTOR ALTINO PELUSO 100,,CENTRO,36520-000,PAULO EDUARDO FONSECA,(32)3551-1386,contato@ranipierotti.com.br,http://www.ranipierotti.com.br,Sim,CNPJ   17393811000100   Pasta   13395   Nº Associação   4536   Data de Fundação   14/01/2013   Data de Associação   04/07/2013   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,RELCO INDÚSTRIA E COMÉRCIO DE EVAPORAÇÃO E SECAGEM LTDA.,SÃO PAULO,SÃO CAETANO DO SUL,ALAMEDA CAULIM 115,SALA 1514,CERÂMICA,09531-195,RENATA DI VITO MANAIA CONDE,(11)4118-3233,info@relco.net,http://www.relco.net,Sim,CNPJ   20776369000106   Pasta   15335   Nº Associação   5028   Data de Fundação   01/08/2014   Data de Associação   01/09/2016   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,RVC ATUADORES E VÁLVULAS LTDA - EPP,SÃO PAULO,SÃO PAULO,RUA ENGENHEIRO JOSE PASTORE 120,,JARDIM DAS GRAÇAS,02714-050,RICARDO CIZIKS,(11)2239-3953,vendas@rvc.com.br,https://rvc.com.br,Sim,CNPJ   03199782000128   Pasta   17584   Nº Associação   5497   Data de Fundação   01/06/1999   Data de Associação   23/09/2019   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,AAHBRAN ENGENHARIA MANUTENÇÃO E MONTAGEM INDUSTRIAL LTDA.,SÃO PAULO,PIRACICABA,RODOVIA MARGARIDA DA GRAÇA MARTINS S/Nº,KM SP 135 - KM 17 200M,DOIS CORREGOS,13420-280,ANTONIO GROPPO,(19)3414-2170,contato@abnequipamentos.com.br,https://abnequipamentos.com.br/,Não,CNPJ   05792330000180   Pasta   16600   Nº Associação   Data de Fundação   24/07/2003   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,ALUMINOX EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,MOCOCA,RUA JOSÉ OLETO 580,,DISTRITO INDUSTRIAL II,13739-070,PAULO ELIAS VICENTE,(19)3665-2483,vendas@aluminoxmontagem.com.br,http://www.aluminoxmontagem.com.br,Não,CNPJ   04082464000145   Pasta   13044   Nº Associação   Data de Fundação   04/10/2000   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,AMPLA INDÚSTRIA METALÚRGICA LTDA.,RIO GRANDE DO SUL,GETÚLIO VARGAS,RUA ALEXANDRE BRAMATTI 673,,CENTRO,99900-000,TIAGO ANZOLIN,(41)3525-9370,ampla@ampla.ind.br,http://www.ampla.ind.br,Não,CNPJ   89660757000115   Pasta   5982   Nº Associação   0   Data de Fundação   08/05/1979   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,ARACEBA INDÚSTRIA DE MÁQUINAS LTDA. EPP,PARANÁ,SANTA TEREZINHA DE ITAIPU,RUA ALEXANDRE ZILLI 90,,ÁREA INDUSTRIAL,85875-000,IVONEI PICCOLI,(45)3541-1313,araceba@araceba.com.br,http://www.araceba.com.br,Não,CNPJ   91489757000146   Pasta   13972   Nº Associação   Data de Fundação   10/03/1987   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Não
AÇÚCAR E ÁLCOOL,ASTEFA - INDÚSTRIA E COMÉRCIO DE FILTROS LTDA. EPP,SÃO PAULO,SERTÃOZINHO,RUA FELISBERTO TAMIÃO 685,,SÃO JOÃO,14170-230,MARCELA CARASSATO,(16)3942-5511,astefa@astefaservice.com.br,http://www.astefa.com.br,Não,CNPJ   55169973000140   Pasta   11595   Nº Associação   Data de Fundação   18/11/1985   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,BEST FOOD MACHINE INDÚSTRIA DE MÁQUINAS PARA ALIMENTAÇÃO LTDA,SÃO PAULO,PAULÍNIA,RUA HUM 231,,SANTA TEREZINHA,13148-133,EMILIO ANGELO,(19)3787-8400,bfm@bfmachine.com.br,http://www.bfmachine.com.br,Não,CNPJ   05926840000101   Pasta   11079   Nº Associação   Data de Fundação   30/09/2003   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,BIG TECNOLOGIA INDUSTRIAL LTDA.,SÃO PAULO,PIRACICABA,RUA ROSÁRIO TAKAKI 555,,DISTRITO INDUSTRIAL UNINORTE,13413-063,RICARDO FUNCASTA DIAS,(19)3414-3836,adm@bigtecnologia.com.br,http://www.bigtecnologia.com.br,Não,CNPJ   05804584000171   Pasta   17981   Nº Associação   Data de Fundação   25/07/2003   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,BMA BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,INDAIATUBA,RUA FREDERICO MAGNUSSON 98,,COMERCIAL VITORIA MARTINI,13347-624,CARLOS VIEIRA,(19)3935-6810,administracao@bma-br.com,http://www.bma-worldwide.com,Não,CNPJ   14673408000139   Pasta   15794   Nº Associação   Data de Fundação   07/10/2011   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,BOSCH ENGENHARIA LTDA.,SÃO PAULO,PIRACICABA,RUA ALEXANDRE HERCULANO 120,EDIF JK BLOCO B SALA 111 E 113,VILA MONTEIRO,13418-445,PAMELA PERUZE,(19)3301-8101,contato@boschengenharia.com.br,http://www.boschengenharia.com.br,Não,CNPJ   09048162000174   Pasta   14217   Nº Associação   Data de Fundação   25/06/2007   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,BRESSAN SERVICE MONTAGEM INDUSTRIAL EIRELI - ME,SÃO PAULO,SALTINHO,RUA JOAQUIM MENDES PEREIRA 1874,,NOSSA SENHORA APARECIDA,13440-000,ALESSANDRO BRESSAN,(19)3439-3343,comercial@bressanindustria.com.br,http://www.bressanindustria.com.br,Não,CNPJ   66179052000185   Pasta   16638   Nº Associação   Data de Fundação   01/07/1991   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,BRUMAZI EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,SERTÃOZINHO,AVENIDA ANTÔNIO WALDIR MARTINELLI 1650,,DISTRITO INDUSTRIAL,14175-360,MARCOS FAVARO,(16)3946-8777,brumazi@brumazi.com.br,http://www.brumazi.com.br,Não,CNPJ   60136249000150   Pasta   5896   Nº Associação   0   Data de Fundação   21/02/1989   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,BULDRINOX INDÚSTRIA METALÚRGICA LTDA.,SÃO PAULO,PIRACICABA,RODOVIA SP 127,KM 29,SANTA ROSA,13400-970,ANTONIO FERNANDES MARIN,(19)3413-8080,buldrinox@buldrinox.com.br,http://www.buldrinox.com.br,Não,CNPJ   55163554000100   Pasta   11265   Nº Associação   Data de Fundação   19/11/1985   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,C.A.S. EQUIPAMENTOS LTDA,SÃO PAULO,PIRACICABA,RODOVIA SP 127 S/Nº,"KM 26,9",PARQUE SÃO JORGE,13413-050,PEDRO LUIZ SCHMIDT,(19)3421-7576,pedro.cas@uol.com.br,https://www.casequipamentos.com.br/,Não,CNPJ   01853591000102   Pasta   18829   Nº Associação   Data de Fundação   15/05/1997   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Não
AÇÚCAR E ÁLCOOL,CALDEBRAS - SERVIÇOS INDUSTRIAIS LTDA.,SÃO PAULO,RIBEIRÃO BONITO,RUA SÃO PAULO 1615,,MORUMBI,13580-000,VANDERSON ANGELO,(16)3344-3016,vanderson.angelo@gruposantin.com.br,http://www.gruposantin.com.br,Não,CNPJ   05146395000159   Pasta   11562   Nº Associação   Data de Fundação   11/07/2002   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,CALDEJA CALDEIRARIA E EQUIPAMENTOS LTDA,SÃO PAULO,JABOTICABAL,AVENIDA PROFESSOR DAYTON ALEIXO DE SOUZA 340,,PARQUE INDUSTRIAL CARLOS TONNANI,14871-382,MATEUS PERRONE,(16)3204-2945,comercial@caldeja.com.br,http://www.caldeja.com.br,Não,CNPJ   30300676000161   Pasta   19715   Nº Associação   Data de Fundação   25/04/2018   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,CASA DO ALAMBIQUEIRO LTDA,MINAS GERAIS,FORMIGA,AVENIDA BRASIL 1377,,PLANALTO,35574-819,NICOLAS CUNHA,(37)3322-1420,casadoalambiqueiro@hotmail.com,https://www.casadoalambiqueiro.com.br/,Não,CNPJ   04260760000199   Pasta   14987   Nº Associação   Data de Fundação   23/01/2001   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,CCRG EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,IGARAPAVA,RUA ANDRÉ FRANCISCO DE ANDRADE ARANTES 235,CAIXA POSTAL 04,PARQUE INDUSTRIAL,14540-000,SERGIO REIS MALAQUIAS,(16)3173-8100,mrg@mrgnet.ind.br,http://www.metalurgicariogrande.ind.br,Não,CNPJ   03493898000175   Pasta   11307   Nº Associação   Data de Fundação   05/11/1999   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,D&R ALAMBIQUES E COBRES LTDA - EPP,MINAS GERAIS,BELO HORIZONTE,RUA DOS INDUSTRIÁRIOS 1053,,DAS INDÚSTRIAS,30610-280,ROGÉRIO RODRIGUES FRANÇA,(31)3383-4390,vendas@deralambiques.com.br,http://www.deralambiques.com.br,Não,CNPJ   04506434000119   Pasta   14878   Nº Associação   4743   Data de Fundação   13/06/2001   Data de Associação   21/08/2014   Data de Desligamento   04/04/2017   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,DEDINI S/A. INDÚSTRIAS DE BASE,SÃO PAULO,PIRACICABA,RODOVIA RIO CLARO-PIRACICABA - S/N,"KM 26,3",CRUZ CAIADA,13412-900,GILSON FERNANDES,(11)3371-9900,dedini@dedini.com.br,http://www.dedini.com.br,Não,CNPJ   50109271000158   Pasta   287   Nº Associação   3477   Data de Fundação   19/12/1978   Data de Associação   14/09/2006   Data de Desligamento   12/12/2014   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,DESTIL MÁQUINAS LTDA. ME,SANTA CATARINA,JARAGUÁ DO SUL,AVENIDA PREFEITO WALDEMAR GRUBBA 2051,,BAEPENDI,89256-500,EDGAR HIENDLMAYER,(47)3275-1564,destilmaquinas@vegaturbo.com.br,http://www.destilmaquinas.blogspot.com,Não,CNPJ   82740127000101   Pasta   12580   Nº Associação   Data de Fundação   11/08/1972   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,DN INDUSTRIAL EQUIPAMENTOS LTDA.,RIO DE JANEIRO,QUISSAMÃ,RODOVIA RJ-196,KM 22 - QUADRA A - LOTE 03 - ZEN 1 - CP 121147,CONDE DE ARARUAMA,28735-000,ALESSANDRO BRANTES,(22)9993-88710,comercial@dnindustrial.com.br,http://www.dnindustrial.com.br,Não,CNPJ   08065033000121   Pasta   6331   Nº Associação   0   Data de Fundação   29/05/2006   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,DOSAQ INDÚSTRIA E COMÉRCIO DE BOMBAS LTDA.,SÃO PAULO,SÃO PAULO,RUA IMOROTI 113,,SÃO JOÃO CLIMACO,04253-020,SÉRGIO ANDREAZZI,(11)2946-6642,dosaq@dosaq.com.br,http://www.dosaq.com.br,Não,CNPJ   61476420000133   Pasta   101   Nº Associação   3701   Data de Fundação   10/08/1966   Data de Associação   29/02/2008   Data de Desligamento   06/09/2017   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,DOURADOS EQUIPAMENTOS INDUSTRIAIS LTDA. ME,SÃO PAULO,SERTÃOZINHO,AVENIDA ANTÔNIO WALDIR MARTINELLI 1779,,DISTRITO INDUSTRIAL,14175-360,RAFAEL FURTADO,(16)3513-8500,comercial@douradosequipamentos.ind.br,http://www.douradosequipamentos.ind.br,Não,CNPJ   09563681000170   Pasta   14378   Nº Associação   Data de Fundação   20/03/2008   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,ECIRTEC EQUIPAMENTOS E ACESSÓRIOS INDUSTRIAIS LTDA,SÃO PAULO,BAURU,RUA MAURITA VAZ MALMONGE 2235,,DISTRITO INDUSTRIAL II,17039-770,RODRIGO DE OLIVEIRA MANZANO,(14)2107-9700,vendas@ecirtec.com.br,http://www.ecirtec.com.br,Não,CNPJ   59461566000163   Pasta   4561   Nº Associação   0   Data de Fundação   24/08/1988   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,ELETRO CIRÚRGICA SOTRONIC LTDA-ME,RIO GRANDE DO SUL,ERECHIM,RUA JOSÉ GIACOMINI 100,,CENTRO,99700-440,EDSON AMARAL,(54)3522-1898,sotronic@sotronic.com.br,http://www.sotronic.com.br,Não,CNPJ   89425185000190   Pasta   3641   Nº Associação   0   Data de Fundação   01/01/1990   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,EXAL PROJETOS INDÚSTRIA COMÉRCIO E ASSISTÊNCIA TÉCNICA EIRELI,SÃO PAULO,PIRACICABA,RUA GERALDO BIZUTI 160,,LOT. DIST. INDUSTRIAL UNINORTE,13413-090,RODNEY ROSTON,(19)3411-2171,comercial@grupoexal.com.br,http://www.grupoexal.com.br,Não,CNPJ   02743365000131   Pasta   13924   Nº Associação   Data de Fundação   16/09/1998   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,FABFER INDÚSTRIA E COMÉRCIO LTDA.-EPP,SÃO PAULO,ARARAQUARA,AVENIDA BERNARDO MONTEIRO 71,,JARDIM RAFAELA MICELLI,14808-033,LUIZ FABIANO TELLES RODRIGUES,(16)3334-7040,financeiro@fabfer.com.br,http://www.fabfer.com.br,Não,CNPJ   02851029000102   Pasta   11600   Nº Associação   Data de Fundação   23/10/1998   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,FADIL FÁBRICA DE ALAMBIQUES DIVINÓPOLIS LTDA-ME,MINAS GERAIS,DIVINÓPOLIS,RUA PIAUÍ 113,,CENTRO,35502-031,HERMINIO BRAS DA SILVA,(37)3221-0021,contato@alambiquesmg.com.br,http://www.alambiquesmg.com.br/contato.html,Não,CNPJ   86460433000145   Pasta   14540   Nº Associação   Data de Fundação   06/05/1994   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,"FAE SYSTEM COMÉRCIO, MANUTENÇÃO E MONTAGENS EIRELI",SÃO PAULO,SANTANA DE PARNAÍBA,RUA PROFESSOR EDGAR DE MORAES 83,ANEXO R BOTAFOGO 123 SL 03,JARDIM FREDIANI,06502-165,FABIO DA SILVA FELIX,(11)4154-5129,faesystem@faesystem.com.br,http://www.faesystem.com.br,Não,CNPJ   01663722000199   Pasta   12538   Nº Associação   Data de Fundação   11/12/1996   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Não
AÇÚCAR E ÁLCOOL,FAMONTE - MONTAGEM E MANUTENÇÃO DE MÁQUINAS EIRELI. EPP,SÃO PAULO,TAQUARITINGA,AVENIDA VICENTE JOSÉ PERISE 2440,,CENTRO,15900-000,DIEGO DOS SANTOS ROCHA,(16)3252-8911,contato@famonteindustrial.com.br,http://www.famonteindustrial.com.br,Não,CNPJ   10377980000108   Pasta   19785   Nº Associação   Data de Fundação   24/07/2008   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,FUNDIÇÃO MORENO LTDA.,SÃO PAULO,SERTÃOZINHO,AVENIDA MARGINAL ADAMO MELONI 1150,CAIXA POSTAL 110,JARDIM RECREIO DOS BANDEIRANTES,14175-000,THIAGO LUIZ DE CAMARGO,(16)3946-5000,rh@moreno.ind.br,http://www.moreno.ind.br,Não,CNPJ   02483898000121   Pasta   13555   Nº Associação   Data de Fundação   23/04/1998   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Não
AÇÚCAR E ÁLCOOL,GERAÇÃO NOBRE EQUIPAMENTOS E MONTAGENS INDUSTRIAIS LTDA - ME,SÃO PAULO,SERTÃOZINHO,AVENIDA MARGINAL OLÉZIO MARQUES 4653,,DISTRITO INDUSTRIAL,14176-003,JEFFERSON ALVES,(16)3524-9022,orcamento@geracaonobre.com.br,http://www.geracaonobre.com.br,Não,CNPJ   10960089000191   Pasta   17133   Nº Associação   Data de Fundação   25/06/2009   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,GLOBO INOX EQUIPAMENTOS INDUSTRIAIS LTDA.,RIO GRANDE DO SUL,GRAVATAÍ,RUA PORTO ALEGRE 35,,VILA MATO ALTO,94195-340,PAULO ROBERTO AZEVEDO,(51)3489-2441,globo@globoinox.com.br,http://www.globoinox.com.br,Não,CNPJ   92882950000105   Pasta   2285   Nº Associação   3687   Data de Fundação   12/06/1968   Data de Associação   13/12/2007   Data de Desligamento   11/12/2012   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,INDÚSTRIA AGRO-PERTENCES EIRELI,RIO GRANDE DO SUL,CACHOEIRA DO SUL,RUA AMALIA NEGRI 727,,OLIVEIRA,96505-370,MOACIR ANTÔNIO MARZARI,(51)3722-2043,comercial@agropertences.com.br,http://www.agropertences.com.br,Não,CNPJ   87760062000180   Pasta   18662   Nº Associação   Data de Fundação   08/09/1966   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,IRBI - MÁQUINAS E EQUIPAMENTOS LTDA.,SÃO PAULO,ARAÇATUBA,RODOVIA MARECHAL RONDON S/N,KM 536 - BLOCO 02 - CAIXA POSTAL 77,JARDIM DO TREVO,16070-005,PAULO SERGIO BIAGI,(18)3631-5000,irbi@irbi.com.br,http://www.irbi.com.br,Não,CNPJ   05317917000138   Pasta   11850   Nº Associação   Data de Fundação   21/08/2002   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,J W INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS EM AÇO INOXIDÁVEL LTDA,SÃO PAULO,SERTÃOZINHO,AVENIDA MARGINAL ANTÔNIO WALDIR MARTINELLI 1820,,DISTRITO INDUSTRIAL,14175-360,ALINE MARIA,(16)3513-2000,financeiro@jw.ind.br,http://www.jw.ind.br,Não,CNPJ   00511648000122   Pasta   11083   Nº Associação   Data de Fundação   23/03/1995   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,JAUMAQ INDÚSTRIA E COMÉRCIO DE MÁQUINAS INDUSTRIAIS LTDA.-EPP,SÃO PAULO,JAÚ,RUA FLORENTINO BATISTA LIMA 225,,DISTRITO INDUSTRIAL,17203-560,MARCELO JOSE BONATO,(14)3416-1563,contato@jaumaq.com.br,http://www.jaumaq.com.br,Não,CNPJ   57420721000178   Pasta   3558   Nº Associação   2545   Data de Fundação   01/01/1987   Data de Associação   13/09/1993   Data de Desligamento   22/01/1996   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,JULIAN INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS INDUSTRIAIS EIRELI,SÃO PAULO,JAÚ,AVENIDA INÁCIO CURI 2846,,JARDIM CONCHA DE OURO,17204-350,PEDRO VALDOMIRO JULIAN,(14)3621-6937,julian@julian.ind.br,http://www.julian.ind.br,Não,CNPJ   44774016000127   Pasta   5803   Nº Associação   0   Data de Fundação   09/10/1980   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
